Location,Bedrooms,Bathrooms,Size,Price
Buellton,4,3,1868,395000
Buellton,4,3,1868,395000
Cambria,2,2,893,325000
Cambria,3,2,1680,520000
Cambria,3,3,2120,449000
Cambria,4,4,1872,332000
Cambria,1,1,551,375000
Cambria,5,3,1818,699900
Cambria,3,2,1380,289900
Cambria,3,2,1840,359900
Cambria,2,2,924,549000
Grover Beach,3,2,2100,500000
Grover Beach,2,1,768,325000
Grover Beach,2,2,1020,240000
Grover Beach,3,2,1470,350000
Grover Beach,4,3,2449,469000
Grover Beach,3,2,1635,349000
Grover Beach,3,3,2095,575000
Grover Beach,3,2,1827,469000
Grover Beach,2,2,1194,275000
Grover Beach,3,2,1462,479000
Grover Beach,2,2,1088,249500
Grover Beach,3,2,1200,310000
Grover Beach,1,1,566,265000
Grover Beach,3,2,1346,349000
Grover Beach,3,2,1278,375000
Grover Beach,3,2,1902,419000
Grover Beach,3,1,1522,349900
Grover Beach,3,2,1240,329900
Grover Beach,3,2,1189,255000
Grover Beach,4,2,1631,379000
Lompoc,4,2,1527,199000
Lompoc,3,2,1700,275000
Lompoc,3,1,912,186900
Lompoc,4,2,1332,180000
Lompoc,3,3,1736,282000
Lompoc,3,2,1144,165000
Lompoc,4,3,3000,360000
Lompoc,3,2,1120,165000
Lompoc,3,3,2041,429000
Lompoc,3,2,1413,260000
Lompoc,3,2,944,170000
Lompoc,3,2,1150,169900
Lompoc,3,2,1594,307000
Lompoc,4,2,1973,295000
Lompoc,3,2,1686,350900
Lompoc,4,2,1144,158900
Lompoc,3,2,1728,405000
Lompoc,4,2,1237,191330
Lompoc,4,2,1338,199900
Lompoc,3,2,1503,227900
Lompoc,3,3,1306,125000
Lompoc,4,3,3035,449900
Lompoc,4,2,1217,193450
Lompoc,3,2,1082,163900
Lompoc,3,2,1237,163900
Lompoc,3,2,1225,198900
Los Osos,3,3,2990,779000
Los Osos,3,2,1200,275000
Los Osos,3,3,1519,375000
Los Osos,1,1,538,99000
Los Osos,3,2,1509,350000
Los Osos,3,2,1120,285000
Los Osos,2,2,896,150000
Los Osos,2,2,896,150000
Los Osos,2,2,896,150000
Los Osos,2,2,896,150000
Los Osos,2,2,896,150000
Los Osos,2,2,1388,205000
Los Osos,3,2,1844,729000
Los Osos,3,3,3249,650000
Los Osos,2,1,720,249900
Los Osos,2,2,1042,214000
Los Osos,3,2,2120,499000
Los Osos,2,1,780,310000
Los Osos,3,2,1320,275000
Los Osos,6,7,5103,1249000
Los Osos,3,2,1120,259900
Morro Bay,4,4,3540,909000
Morro Bay,4,3,3360,999000
Morro Bay,4,3,4168,1100000
Morro Bay,3,3,1350,415000
Morro Bay,3,3,2100,789000
Morro Bay,3,3,2430,899000
Morro Bay,3,3,2100,1045000
Morro Bay,2,2,1550,774000
Morro Bay,3,2,1008,359000
Morro Bay,4,2,1736,395000
Morro Bay,0,1,910,311900
Morro Bay,3,3,1510,529000
Morro Bay,3,2,1236,435000
Nipomo,3,1,1110,340000
Nipomo,3,3,2365,525000
Nipomo,4,3,2341,498000
Nipomo,4,2,2168,430000
Nipomo,4,2,1929,320000
Nipomo,7,5,2688,325000
Nipomo,2,2,1033,179000
Nipomo,4,2,1660,159000
Nipomo,3,2,1367,289000
Nipomo,2,2,2000,515000
Nipomo,3,5,4463,1700000
Nipomo,3,3,1894,490000
Nipomo,3,2,1756,299000
Nipomo,4,2,1925,339900
Nipomo,4,3,2600,550000
Nipomo,2,2,1248,139500
Nipomo,3,2,1106,239000
Nipomo,2,2,1040,189500
Nipomo,5,3,3036,359900
Nipomo,3,2,1700,699000
Nipomo,3,2,1181,269000
Nipomo,3,3,1650,242500
Nipomo,4,2,1814,649000
Nipomo,4,2,1718,349000
Nipomo,2,2,969,149900
Nipomo,3,4,3698,879000
Nipomo,4,4,5190,1399900
Nipomo,4,2,2125,296800
Nipomo,2,2,1134,279900
Nipomo,3,2,1106,222600
Nipomo,3,3,2703,650000
Nipomo,3,2,1112,220000
Nipomo,3,1,1022,189000
Nipomo,4,2,1336,259000
Paso Robles,4,3,2818,399000
Paso Robles,4,3,3032,545000
Paso Robles,4,3,1794,314000
Paso Robles,3,2,1719,299000
Paso Robles,4,3,3032,539900
Paso Robles,3,2,1700,329000
Paso Robles,4,3,2192,409000
Paso Robles,3,2,1456,225000
Paso Robles,3,3,1951,359900
Paso Robles,3,2,1560,89000
Paso Robles,3,2,1340,235000
Paso Robles,3,1,888,183000
Paso Robles,3,2,1316,294900
Paso Robles,3,2,1220,399000
Paso Robles,4,2,2135,319900
Paso Robles,4,3,3113,432000
Paso Robles,4,3,2277,379000
Paso Robles,3,2,1440,164900
Paso Robles,4,2,2064,370000
Paso Robles,3,3,2136,365000
Paso Robles,2,1,1068,299000
Paso Robles,3,2,1420,329000
Paso Robles,5,3,2764,599900
Paso Robles,3,2,1662,249000
Paso Robles,3,3,1352,269000
Paso Robles,3,2,1209,299900
Paso Robles,3,2,1381,279000
Paso Robles,2,1,1250,399000
Paso Robles,3,2,1640,355000
Paso Robles,4,3,2371,369000
Paso Robles,2,2,1292,250000
Paso Robles,3,2,1640,259000
Paso Robles,4,2,1653,315000
Paso Robles,3,3,1889,330000
Paso Robles,3,2,1176,249000
Paso Robles,3,2,1998,389000
Paso Robles,3,3,1687,260000
Paso Robles,3,2,1663,320000
Paso Robles,3,2,1550,225000
Paso Robles,3,3,2150,369000
Paso Robles,3,2,1488,309000
Paso Robles,4,2,2161,369900
Paso Robles,2,1,1000,199000
Paso Robles,5,3,3150,579000
Paso Robles,3,2,1426,290000
Paso Robles,3,2,1395,350000
Paso Robles,3,2,1300,315000
Paso Robles,3,2,1244,279900
Paso Robles,4,2,2139,399000
Paso Robles,3,2,1550,221830
Paso Robles,3,2,1139,269900
Paso Robles,3,2,1465,169990
Paso Robles,3,3,1296,335900
Paso Robles,3,2,1774,359000
Paso Robles,4,2,1240,239000
Paso Robles,5,6,3750,695000
Paso Robles,2,2,1440,150000
Paso Robles,3,2,1488,163999
Paso Robles,4,3,2006,319200
Paso Robles,3,2,2446,402500
Paso Robles,3,2,2114,425000
Paso Robles,3,2,1080,239900
Paso Robles,3,3,2271,580000
Paso Robles,3,2,1269,287000
Paso Robles,5,3,2700,429000
Paso Robles,3,3,1197,264900
Paso Robles,4,2,1870,429000
Paso Robles,4,2,2064,409000
Paso Robles,4,2,2064,409000
Paso Robles,4,3,1888,399000
Paso Robles,4,2,1862,389000
Paso Robles,3,2,1960,409000
Paso Robles,4,3,2502,529000
Paso Robles,3,3,2203,409000
Paso Robles,4,2,2236,390000
Paso Robles,3,2,1657,304900
Paso Robles,3,2,1396,278000
Paso Robles,3,2,1368,149000
Paso Robles,3,2,1275,249000
Paso Robles,3,2,2082,599000
Paso Robles,3,2,1080,214900
Paso Robles,3,2,1425,250000
Paso Robles,3,3,2508,439900
Paso Robles,2,1,832,199000
Paso Robles,2,2,1674,249900
Pismo Beach,3,4,1920,950000
Pismo Beach,3,3,2602,1100000
Pismo Beach,3,2,1293,499000
Pismo Beach,0,1,398,275000
Pismo Beach,3,3,2266,899000
Pismo Beach,2,3,1749,604995
Pismo Beach,3,3,1996,599000
Pismo Beach,2,1,634,519500
Pismo Beach,4,4,3609,1799000
Pismo Beach,3,3,2200,875000
Pismo Beach,2,2,1200,599000
Pismo Beach,3,2,1858,549000
San Luis Obispo,3,3,1472,425000
San Luis Obispo,4,2,1543,399000
San Luis Obispo,3,2,2117,595000
San Luis Obispo,2,3,1389,385000
San Luis Obispo,2,3,1650,449000
San Luis Obispo,3,2,1268,585000
San Luis Obispo,2,2,966,254900
San Luis Obispo,3,3,3474,890000
San Luis Obispo,2,2,896,299000
San Luis Obispo,3,3,1365,374800
San Luis Obispo,2,2,1190,239800
San Luis Obispo,3,2,1668,531905
San Luis Obispo,3,3,1756,440000
San Luis Obispo,3,2,1104,372000
San Miguel,3,3,2950,599000
San Miguel,3,2,1458,229900
San Miguel,3,2,1458,229000
San Miguel,3,2,1498,345000
San Miguel,3,1,965,164900
San Miguel,3,2,1062,185000
San Miguel,4,2,1601,269900
San Miguel,3,2,1350,180000
San Miguel,3,2,1458,229000
San Miguel,3,2,1184,199500
San Miguel,4,4,3531,720000
San Miguel,2,2,1222,84900
San Miguel,4,2,2400,325000
San Miguel,3,2,1356,209900
